pdf_number,bibtex_key
1,Engels2000heterogeneity-0001
2,Venekamp2014subgroup-0001
3,Rhodes2016empirical-0001
4,White2005assessing-0001
5,Knowler2002reduction
6,Kent2018personalized-0001
7,VanderWeele2009on-0001
8,Yusuf1991analysis-0001
9,Sun2010is-0001
10,Sun2014how-0001
11,Oxman1992a-0001
12,Simon1982patient-0001
13,Matsuyama2006estimation-0001
14,Hirji2009outcome-0001
15,Cuzick1982the-0001
16,Cook2004subgroup-0001
17,Desai2014challenges-0001
18,vanHoorn2017the-0001
19,Grady2007chapter-0002
20,Moye200721
21,Rosenbaum1984the-0001
22,Korn2017assessing-0001
23,VanDenBerghe2006intensive-0001
24,Laber201715
25,Henderson2016bayesian-0001
26,Thompson1994why-0001
27,Fletcher2007subgroup-0001
28,Dijkman2009how-0001
29,Gagnier2013consensus-based-0001
30,Varadhan2012review-0001
31,Kasenda2014subgroup-0001
32,Russell2008vasopressin-0001
33,RandomisedTrialOfIntravenous1988isis-2
34,AntiplateletTrialistsCollaboration1994collaborative
35,Parienti2008femoral-0001
36,StudyToProspectivelyEvaluateReamedIntramedullaryNailsInPatientsWithTibialFracturesInvestigators2008randomized-0001
37,SPRINTInvestigators2008study
38,Wallach2017evaluation-0001
39,Chan2016neratinib
40,Perez2014trastuzumab
41,Untch2008estimating
42,deAzambuja2014lapatinib
43,DeLaurentiis2005a
44,Dowsett2001her-2
45,Trick2006prospective-0001
46,Corwin2007efficacy-0001
47,Corwin2002efficacy-0001
48,Ebbeling2007effects-0001
49,Pittas2005a-0001
50,VanderWeele2011interpretation-0001
51,Brookes2001subgroup-0001
52,Rockette1988strategies-0001
53,Tanniou2017estimates-0001
54,Pocock2002subgroup-0001
55,Altman2011how-0002
56,Knol2011the-0001
57,Benjamin2018redefine-0001
58,Wilt2017follow-up-0001
59,Wallentin2009ticagrelor-0001
60,CRASH-2Collaborators2011the
61,Mills1993data-0001
62,Counsell1994the-0001
63,Higgins2004controlling-0001
64,Li2017an-0001
65,Starr2004assessing-0001
66,Shaffer1995multiple-0001
67,Varadhan2016treatment-0001
68,Grouin2005subgroup-0001
69,Burke2015three-0001
70,Kent2010assessing-0001
71,Wang2007statistics-0001
72,Knol2012recommendations-0001
73,Barnett1998benefit-0001
74,Taylor1999low-dose-0001
75,Chaillet2015a-0002
76,NorthAmericanSymptomaticCarotidEndarterectomy1991methods
77,Fisher2017meta-analytical-0001
78,Royston2006dichotomizing-0001
79,Altman2006the-0001
80,Altman1994dangers-0001
81,Royston2013interaction-0001
82,Gilthorpe2012statistical-0001
83,Royston2014interaction-0001
84,Royston2004a-0001
85,Bonetti2009a-0001
86,Hortobagyi2016correlative
87,TheCRASHTrialsCo-ordinatingCentre2005protocol-0001
88,MedicalResearchCouncilRenalCancerCollaborators1999interferon-alpha-0001
89,Royston2004is-0001
90,Schandelmaier2019a-0002
91,VanderWeele2015explanation-0001
92,Pearce2014confounding-0001
93,Varadhan2014standardization-0001
94,Higgins2016a-0001
95,Sun2011the-0001
96,Barton2015the-0001
97,Gabler2016no-0001
98,Alosh2017tutorial-0001
99,Thompson2002how-0001
100,DaveySmith1997meta-analysis-0001
101,Berlin1995invited-0001
102,Borenstein2009introduction-0001
103,Smith2008going
104,Hingorani2013prognosis-0001
105,Simmonds2007covariate-0001
106,Lambert2002a-0001
107,Berlin2002individual-0001
108,Fisher2011a-0001
109,Song2016cumulative-0001
110,Hua2017one-stage-0001
111,Bachmann2010inpatient-0001
112,Ronellenfitsch2013preoperative-0001
113,ChemoradiotherapyForCervicalCancerMeta-Analysis2008reducing
114,Bower2013influence-0001
115,Higgins2003measuring-0001
116,Rothwell2018effects-0001
117,Rubio-Aparicio2017analysis-0001
118,Siemieniuk2016transcatheter-0001
119,Schandelmaier2017low-0001
120,Leppin2014preventing-0001
121,Briel2010higher-0001
122,Sahgal2015phase-0001
123,Schandelmaier2016prospero
124,Borenstein2013meta-analysis-0001
125,Borenstein2019common-0001
126,Thompson1999explaining-0001
127,Simmonds2015a-0001
128,Wang2016meta-stepp-0001
129,Kasenda2016multivariable-0001
130,Blackstone2015propensity-matched-0001
131,Whiting2016robis-0001
132,Hahn2000assessing-0001
133,Guyatt2011grade-0007
134,Groenwold2009confounding-0001
135,VanderWeele2007four-0001
136,MethodologyCommitteeOfThePatient-CenteredOutcomesResearchInstitute2012methodological
137,Alper2019defining-0001
138,EuropeanMedicinesAgency2020ich
139,Poole2015is-0001
140,Lesko2018considerations-0002
141,Schmid1998an-0001
142,Veroniki2019methods
143,Michael2019exact
144,Rover2015hartung-knapp-sidik-jonkman
145,Bender2018methods
146,Friede2017meta-analysis
147,Friede2017meta-analysis-0001
148,Seide2019likelihood-based
149,Lesko2018considerations-0001
